#;NAME;;P0;;;P1;;;F0;;;F1;;;AGE;BSURF;EDOT;
;;;(s);;;;;;(Hz);;;(s^-2);;;(Yr);(G);(ergs/s);
108;J0220+36;ttol16;1.0297;0;ttol16;*;0;*;0.971157;0;ttol16;*;0;*;*;*;*;
109;J0229+20;dsm+13;0.8069;0;dsm+13;*;0;*;1.239311;0;dsm+13;*;0;*;*;*;*;
110;B0226+70;dtws85;1.466820306152;7.0e-12;hlk+04;3.10998E-15;7.0e-20;hlk+04;0.681746765985;3.0e-12;hlk+04;-1.44545E-15;3.0e-20;hlk+04;7.47e+06;2.16e+12;3.9e+31;
111;J0241+16;dsm+13;1.5454;0;dsm+13;*;0;*;0.647082;0;dsm+13;*;0;*;*;*;*;
112;J0242+62;hrk+08;0.592;0;hrk+08;*;0;*;1.689189;0;hrk+08;*;0;*;*;*;*;
113;J0243+6027;hrk+08;1.473;0;hrk+08;*;0;*;0.678887;0;hrk+08;*;0;*;*;*;*;
114;J0244+14;dsm+13;2.1281;0;dsm+13;*;0;*;0.469903;0;dsm+13;*;0;*;*;*;*;
115;J0248+6021;tpc+11;0.217094;5.0e-06;tpc+11;5.509E-14;5.0e-17;tpc+11;4.6063;1.0e-04;tpc+11;-1.169E-12;1.0e-15;tpc+11;6.24e+04;3.5e+12;2.1e+35;
116;J0250+5854;tbc+18;23.535378476;1.0e-09;tbc+18;2.716E-14;7.0e-17;tbc+18;0.0424892253600;1.9e-12;tbc+18;-4.903E-17;1.3e-19;tbc+18;1.37e+07;2.56e+13;8.2e+28;
117;J0251+26;cck+16;0.00254;0;cck+16;*;0;*;393.700787;0;cck+16;*;0;*;*;*;*;
118;B0254-53;lvw69b;0.4477084731988;3.0e-13;jbv+19;3.129E-17;3.0e-20;jbv+19;2.233596324088;1.0e-12;jbv+19;-0.1561E-15;1.0e-19;jbv+19;2.27e+08;1.2e+11;1.4e+31;
119;J0302+2252;ttol16;1.207164839778;2.0e-12;mbc+20;8.25E-17;1.0e-19;mbc+20;0.8283872815447;1.4e-12;mbc+20;-5.661E-17;7.0e-20;mbc+20;2.32e+08;3.19e+11;1.9e+30;
120;B0301+19;fss73;1.387584446262;3.0e-12;hlk+04;1.295235E-15;2.0e-20;hlk+04;0.7206768587625;1.4e-12;hlk+04;-6.72713E-16;1.0e-20;hlk+04;1.7e+07;1.36e+12;1.9e+31;
121;J0305+11;scb+19;0.8621;0;scb+19;*;0;*;1.159958;0;scb+19;*;0;*;*;*;*;
122;J0308+74;hrm+11;0.00316;0;hrm+11;*;0;*;316.455696;0;hrm+11;*;0;*;*;*;*;
123;J0317+13;ttm18;1.9743;0;scb+19;*;0;*;0.506509;0;scb+19;*;0;*;*;*;*;
124;B0320+39;dth78;3.032071956385;1.0e-11;hlk+04;6.3562E-16;7.0e-20;hlk+04;0.3298074763345;1.0e-12;hlk+04;-6.9138E-17;7.0e-21;hlk+04;7.56e+07;1.4e+12;9.0e+29;
125;J0324+5239;bck+13;0.336620230291;3.0e-12;bck+13;0.381E-15;3.0e-18;bck+13;2.97070677878;3.0e-11;bck+13;-3.36E-15;3.0e-17;bck+13;1.4e+07;3.62e+11;3.9e+32;
126;J0325+6744;slr+14;1.364678767282;1.5e-11;lsk+18;1.553E-15;1.0e-17;lsk+18;0.732773180015;8.0e-12;lsk+18;-8.34E-16;5.0e-18;lsk+18;1.39e+07;1.47e+12;2.4e+31;
127;J0329+1654;lxf+05;0.893319660649;1.0e-12;lxf+05;0.21525E-15;6.0e-20;lxf+05;1.1194201180723;1.3e-12;lxf+05;-2.6973E-16;8.0e-20;lxf+05;6.58e+07;4.44e+11;1.2e+31;
128;B0329+54;cp68;0.714519699726;4.0e-12;hlk+04;2.048265E-15;8.0e-21;hlk+04;1.399541538720;6.0e-12;hlk+04;-4.011970E-15;1.4e-20;hlk+04;5.53e+06;1.22e+12;2.2e+32;
129;J0332+79;kkl+15;2.05621;6.0e-05;kkl+15;*;0;*;0.486332;1.5e-05;kkl+15;*;0;*;*;*;*;
130;B0331+45;dtws85;0.26920054092953;1.3e-13;hlk+04;7.3505E-18;1.0e-21;hlk+04;3.7147027882896;1.7e-12;hlk+04;-1.01429E-16;1.3e-20;hlk+04;5.8e+08;4.5e+10;1.5e+31;
131;J0335+6623;slr+14;1.76193424742;1.9e-10;lsk+18;4.81E-15;1.0e-16;lsk+18;0.56755806947;6.0e-11;lsk+18;-1.55E-15;3.0e-17;lsk+18;5.8e+06;2.95e+12;3.5e+31;
